url,title,source,publish_date,summary,collected_at,date
https://blog.cloudflare.com/intro-access-for-infrastructure-ssh,Introducing Access for Infrastructure: SSH,https://blog.cloudflare.com/,2024-10-23,No summary available,2024-10-22T20:47:20.969470,
https://newsletter.pragmaticengineer.com/p/state-of-eng-market-2024,State of the software engineering job market in 2024,https://newsletter.pragmaticengineer.com/s/deepdives?utm_source=substack&utm_medium=menu,2024-10-22,None Available,2024-10-22T20:47:20.859959,2024-10-22 15:33:18+00:00
https://blog.cloudflare.com/how-we-use-openbmc-and-acpi-power-states-to-monitor-the-state-of-our-servers,Is this thing on? Using OpenBMC and ACPI power states for reliable server boot,https://blog.cloudflare.com/,2024-10-22,No summary available,2024-10-22T20:47:20.969470,
https://www.bigdatawire.com/2024/10/21/cribl-ceo-clint-sharp-discusses-the-data-observability-deluge/,Cribl CEO Clint Sharp Discusses the Data Observability Deluge,https://www.bigdatawire.com/more-articles,2024-10-21,"Telemetry data, including logs, metrics, and traces, is straining enterprises' resources as it grows into the exabyte territory. One company with a novel solution to the problem is Cribl, whose CEO and Co-founder, Clint  Read more…",2024-10-22T20:47:20.859959,"October 21, 2024"
https://www.bigdatawire.com/2024/10/21/all-jobs-are-becoming-tech-jobs-pearsons-latest-report/,All Jobs Are Becoming Tech Jobs: Pearson’s Latest Report,https://www.bigdatawire.com/more-articles,2024-10-21,"As artificial intelligence (AI) technologies and automation evolve, the way we work is changing faster than ever. Traditional jobs are being redefined, and our growing dependence on technology is altering how we tackle t Read more…",2024-10-22T20:47:20.859959,"October 21, 2024"
https://www.bigdatawire.com/2024/10/21/denodo-brings-data-management-to-academia-the-cloud/,"Denodo Brings Data Management to Academia, the Cloud",https://www.bigdatawire.com/more-articles,2024-10-21,"Data management is hard, and it’s not getting easier, thanks to the continued tsunami of big data (a data-nami, as it were). One company that’s aiming to help with the continued digital onslaught is data virtualizati Read more…",2024-10-22T20:47:20.859959,"October 21, 2024"
https://www.bigdatawire.com/2024/10/18/meet-vast-data-ceo-renen-hallak-a-2024-bigdatawire-person-to-watch/,"Meet Vast Data CEO Renen Hallak, a 2024 BigDATAwire Person to Watch",https://www.bigdatawire.com/more-articles,2024-10-18,"The rise of AI has highlighted the need for a new generation of storage solutions that combine compute, software, and services. One of the company's developing such a system is VAST Data, which has quickly established it Read more…",2024-10-22T20:47:20.859959,"October 18, 2024"
https://www.bigdatawire.com/2024/10/18/cloudera-partners-with-snowflake-to-optimize-data-integration-and-analytics/,Cloudera Partners with Snowflake to Optimize Data Integration and Analytics,https://www.bigdatawire.com/more-articles,2024-10-18,"Cloudera, a hybrid platform for data, analytics, and AI, has announced an integration with Snowflake, an AI-powered cloud data platform, aimed at providing enterprises with an open and unified hybrid data lakehouse.

A Read more…",2024-10-22T20:47:20.859959,"October 18, 2024"
https://www.bigdatawire.com/2024/10/17/cognizant-adds-multi-agent-capabilities-to-neuro-ai/,Cognizant Adds Multi-Agent Capabilities to Neuro AI,https://www.bigdatawire.com/more-articles,2024-10-17,"Cognizant, a global IT services provider, has announced enhancements to its Neuro AI platform, designed to boost AI-driven productivity and business growth by leveraging multi-agent AI orchestration features. 

Neuro  Read more…",2024-10-22T20:47:20.859959,"October 17, 2024"
https://www.bigdatawire.com/2024/10/17/weighing-your-data-security-options-for-genai/,Weighing Your Data Security Options for GenAI,https://www.bigdatawire.com/more-articles,2024-10-17,"No computer can be made completely secure unless it’s buried under six feet of concrete. However, with enough forethought into developing a layered security architecture, data can be secured enough for Fortune 500 ente Read more…",2024-10-22T20:47:20.859959,"October 17, 2024"
